OBJECTID,location,population,population_white,population_white_only,population_hispanic,population_black,population_asian,population_native,population_native_islander,population_other,population_two_or_more,male_population,population_white_male,population_white_only_male,population_hispanic_male,population_black_male,population_asian_male,population_native_male,population_native_islander_male,population_other_male,population_two_or_more_male,female_population,population_white_female,population_white_only_female,population_hispanic_female,population_black_female,population_asian_female,population_native_female,population_native_islander_female,population_other_female,population_two_or_more_female,pct_white,pct_white_only,pct_hispanic,pct_black,pct_asian,pct_native,pct_native_islander,pct_other,pct_two_or_more,pop_num,pop_white_num,pop_black_num,pop_white_only_num,pop_hispanic_num,pop_native_islander_num,pop_other_num,pop_two_or_more_num,pop_native_num,pop_asian_num,majority_race,GEOIDFQ
1922,"Richland County, Illinois",15675,14744,14680,298,71,43,8,5,212,592,7806,7259,7255,170,45,0,7,0,192,303,7869,7485,7425,128,26,43,1,5,20,289,94.06060606,93.6523126,1.901116427,0.452950558,0.274322169,0.051036683,0.031897927,1.352472089,3.776714514,15675,14744,71,14680,298,5,212,592,8,43,White,0500000US17159
1923,"Comerío Municipio, Puerto Rico",18775,5720,0,18775,1984,0,0,0,2428,8643,9371,2781,0,9371,1092,0,0,0,1101,4397,9404,2939,0,9404,892,0,0,0,1327,4246,30.46604527,0,100,10.56724368,0,0,0,12.93209055,46.03462051,18775,5720,1984,0,18775,0,2428,8643,0,0,Hispanic/Latino,0500000US72045
1924,"Maui County, Hawaii",164632,51004,48448,17325,1248,46571,577,17197,3238,44797,82107,25682,24614,8647,814,21982,279,8979,1748,22623,82525,25322,23834,8678,434,24589,298,8218,1490,22174,30.9806113,29.42805773,10.52347053,0.758054327,28.28793916,0.350478643,10.44572137,1.966810827,27.21038437,164632,51004,1248,48448,17325,17197,3238,44797,577,46571,White,0500000US15009
1925,"Lafourche Parish, Louisiana",96670,73818,72346,5562,12728,664,2571,3,1181,5705,47658,36336,35598,2955,6314,329,1348,0,685,2646,49012,37482,36748,2607,6414,335,1223,3,496,3059,76.36081514,74.83810903,5.753594704,13.16644254,0.686872866,2.659563463,0.003103341,1.221682011,5.901520637,96670,73818,12728,72346,5562,3,1181,5705,2571,664,White,0500000US22057
1926,"Muscatine County, Iowa",42735,35076,32174,7878,1247,274,127,0,3516,2495,21442,17283,15871,3992,750,114,69,0,1970,1256,21293,17793,16303,3886,497,160,58,0,1546,1239,82.07792208,75.28723529,18.43453843,2.917982918,0.641160641,0.297180297,0,8.227448227,5.838305838,42735,35076,1247,32174,7878,0,3516,2495,127,274,White,0500000US19139
1927,"Santa Rosa County, Florida",193719,157431,153283,12751,10729,4165,449,366,3879,16700,99106,79392,77316,6702,7081,1525,189,239,2288,8392,94613,78039,75967,6049,3648,2640,260,127,1591,8308,81.26771251,79.12646669,6.582214445,5.538434537,2.150021423,0.23177902,0.188933455,2.002384898,8.620734156,193719,157431,10729,153283,12751,366,3879,16700,449,4165,White,0500000US12113
1928,"Martin County, Indiana",9854,9432,9313,120,15,11,1,0,40,355,5072,4853,4778,75,10,1,0,0,16,192,4782,4579,4535,45,5,10,1,0,24,163,95.71747514,94.50984372,1.217779582,0.152222448,0.111629795,0.010148163,0,0.405926527,3.60259793,9854,9432,15,9313,120,0,40,355,1,11,White,0500000US18101
1929,"Rockcastle County, Kentucky",16144,15588,15474,190,101,50,1,0,76,328,7969,7713,7621,122,40,19,0,0,53,144,8175,7875,7853,68,61,31,1,0,23,184,96.55599604,95.84985134,1.17690783,0.625619425,0.309712587,0.006194252,0,0.470763132,2.031714569,16144,15588,101,15474,190,0,76,328,1,50,White,0500000US21203
1930,"Trimble County, Kentucky",8531,7980,7896,234,70,12,8,6,142,313,4249,4050,4035,78,0,0,4,0,45,150,4282,3930,3861,156,70,12,4,6,97,163,93.54120267,92.55655843,2.742937522,0.820536866,0.140663463,0.093775642,0.070331731,1.664517642,3.668971985,8531,7980,70,7896,234,6,142,313,8,12,White,0500000US21223
1931,"Pickens County, Alabama",18843,10967,10020,1088,7400,10,48,0,122,296,9111,5389,5117,329,3506,0,3,0,74,139,9732,5578,4903,759,3894,10,45,0,48,157,58.20198482,53.17624582,5.77402749,39.27187815,0.053070106,0.254736507,0,0.647455288,1.570875126,18843,10967,7400,10020,1088,0,122,296,48,10,White,0500000US01107
