OBJECTID,location,median,median_white,median_white_only,median_hispanic,median_black_only,median_asian,median_native,median_native_islander,median_other,median_two_or_more,All_Crime,Violent_Crime,Murder_and_Nonnegligent_Manslaughter,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary,Larceny_theft,Motor_Vehicle_Theft,Arson,Metropolitan_Nonmetropolitan,crime_majority,pct_violent,pct_murder,pct_rape,pct_robbery,pct_assault,pct_property,pct_burglary,pct_larceny,pct_vehicle,pct_arson,majority_race,population,population_white,population_white_only,population_hispanic,population_black,population_asian,population_native,population_native_islander,population_other,population_two_or_more,male_population,population_white_male,population_white_only_male,population_hispanic_male,population_black_male,population_asian_male,population_native_male,population_native_islander_male,population_other_male,population_two_or_more_male,female_population,population_white_female,population_white_only_female,population_hispanic_female,population_black_female,population_asian_female,population_native_female,population_native_islander_female,population_other_female,population_two_or_more_female,pct_white,pct_white_only,pct_hispanic,pct_black,pct_asian,pct_native,pct_native_islander,pct_other,pct_two_or_more,Shape_Length,Shape_Area,GEOIDFQ
563,"Massac County, Illinois",62584,64020,64473,0,55833,0,0,0,0,69375,,,,,,,,,,,,,,,,,,,,,,,,White,13958,12270,12103,388,883,53,10,0,22,720,6807,5916,5834,188,451,10,0,0,22,408,7151,6354,6269,200,432,43,10,0,0,312,87.90657687,86.71013039,2.779767875,6.326121221,0.37971056,0.071643502,0,0.157615704,5.158332139,1.199351955,0.063653365,0500000US17127
564,"Faribault County, Minnesota",64391,67438,67731,50464,0,92917,0,0,58700,0,78,26,0,0,0,26,13,7,3,3,0,Nonmetropolitan County,Violent Crimes,33.33333333,0,0,0,33.33333333,16.66666667,8.974358974,3.846153846,3.846153846,0,White,13909,12486,12326,1086,83,87,36,0,389,828,7054,6369,6280,558,41,37,18,0,186,403,6855,6117,6046,528,42,50,18,0,203,425,89.76921418,88.61887986,7.807894169,0.596735926,0.625494284,0.258825221,0,2.796750306,5.952980085,1.895165219,0.208673965,0500000US27043
565,"Grainger County, Tennessee",51351,51781,51347,56330,23654,0,26094,0,0,0,246,20,2,3,0,15,102,20,62,20,2,Metropolitan County,Property Crimes,8.130081301,0.81300813,1.219512195,0,6.097560976,41.46341463,8.130081301,25.20325203,8.130081301,0.81300813,White,23929,22978,22258,840,269,34,41,112,35,460,12106,11736,11262,570,125,11,3,0,0,231,11823,11242,10996,270,144,23,38,112,35,229,96.02574282,93.01684149,3.510384889,1.12415897,0.142087007,0.171340215,0.468051318,0.146266037,1.922353629,2.185249044,0.078567979,0500000US47057
566,"Freestone County, Texas",58460,69141,69961,59646,47750,0,0,0,0,39896,164,31,1,3,1,26,51,11,31,9,0,Nonmetropolitan County,Property Crimes,18.90243902,0.609756098,1.829268293,0.609756098,15.85365854,31.09756098,6.707317073,18.90243902,5.487804878,0,White,19813,13449,12582,3321,2903,41,78,0,382,2960,10375,6782,6280,1929,1602,33,35,0,207,1716,9438,6667,6302,1392,1301,8,43,0,175,1244,67.87967496,63.50376016,16.7617221,14.65199616,0.206934841,0.393680917,0,1.928027053,14.93968606,2.497560463,0.21979453,0500000US48161
567,"Mifflin County, Pennsylvania",61415,62124,62077,0,25921,0,59268,0,0,39457,,,,,,,,,,,,,,,,,,,,,,,,White,46074,43274,43173,1001,329,128,63,43,344,1893,22611,21320,21273,345,201,52,62,22,154,800,23463,21954,21900,656,128,76,1,21,190,1093,93.92281981,93.70360724,2.172591917,0.714068672,0.277813951,0.136736554,0.093328124,0.746624995,4.108607892,1.866763102,0.114292773,0500000US42087
568,"Crenshaw County, Alabama",49040,54772,57857,51037,29052,0,0,0,0,58555,47,5,0,1,0,4,18,3,14,1,1,Nonmetropolitan County,Property Crimes,10.63829787,0,2.127659574,0,8.510638298,38.29787234,6.382978723,29.78723404,2.127659574,2.127659574,White,13144,9280,9218,236,3071,153,28,5,111,496,6366,4580,4527,130,1393,43,25,0,56,269,6778,4700,4691,106,1678,110,3,5,55,227,70.6025563,70.13085819,1.795496044,23.36427267,1.164029215,0.213024954,0.03804017,0.844491783,3.773584906,2.326096213,0.150584726,0500000US01041
569,"Bristol city, Virginia",44706,48292,48416,0,40569,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,White,17024,14631,14524,458,1136,56,0,13,187,1001,8245,6878,6834,318,720,22,0,0,110,515,8779,7753,7690,140,416,34,0,13,77,486,85.94337406,85.31484962,2.690319549,6.672932331,0.328947368,0,0.076362782,1.098449248,5.879934211,0.52200226,0.003390667,0500000US51520
570,"Runnels County, Texas",63490,61500,65694,57292,70491,0,0,0,69107,64000,36,2,0,0,0,2,16,11,5,0,0,Nonmetropolitan County,Property Crimes,5.555555556,0,0,0,5.555555556,44.44444444,30.55555556,13.88888889,0,0,White,9880,6882,5980,3402,296,0,38,0,590,2074,4971,3373,2985,1717,176,0,36,0,341,1045,4909,3509,2995,1685,120,0,2,0,249,1029,69.65587045,60.52631579,34.43319838,2.995951417,0,0.384615385,0,5.971659919,20.99190283,2.039289708,0.260826184,0500000US48399
571,"Terrell County, Texas",46989,45341,43958,57321,0,0,0,0,0,123315,0,0,0,0,0,0,0,0,0,0,0,Nonmetropolitan County,Violent Crimes,,,,,,,,,,,White,851,710,487,364,0,0,0,0,27,114,458,347,226,232,0,0,0,0,23,88,393,363,261,132,0,0,0,0,4,26,83.43125734,57.22679201,42.77320799,0,0,0,0,3.172737955,13.3960047,3.85832958,0.572287219,0500000US48443
572,"Rawlins County, Kansas",65000,65213,64375,90625,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,White,2533,2371,2256,186,0,13,25,0,34,90,1323,1256,1165,107,0,4,22,0,7,34,1210,1115,1091,79,0,9,3,0,27,56,93.60442163,89.06435057,7.343071457,0,0.513225424,0.98697197,0,1.342281879,3.553099092,2.214275402,0.291263807,0500000US20153
573,"Thomas County, Kansas",73575,72632,72544,86927,0,0,0,0,114803,76458,44,10,0,1,0,9,12,2,9,1,0,Nonmetropolitan County,Property Crimes,22.72727273,0,2.272727273,0,20.45454545,27.27272727,4.545454545,20.45454545,2.272727273,0,White,7913,7321,7133,639,104,19,1,0,242,226,4021,3687,3573,410,82,2,1,0,144,105,3892,3634,3560,229,22,17,0,0,98,121,92.51864021,90.14280298,8.075319095,1.314292936,0.240111209,0.012637432,0,3.058258562,2.856059649,2.207811155,0.290887228,0500000US20193
574,"Jeff Davis County, Georgia",40879,41938,42045,68868,23068,0,0,0,0,71463,,,,,,,,,,,,,,,,,,,,,,,,White,14838,10476,10208,2033,2056,19,105,70,231,1881,7633,5228,5015,1220,1095,13,33,57,138,1069,7205,5248,5193,813,961,6,72,13,93,812,70.60250708,68.79633374,13.70130745,13.85631487,0.128049602,0.707642539,0.471761693,1.556813587,12.67691063,1.570566437,0.08273306,0500000US13161
575,"Cherokee County, Iowa",64478,66414,66283,58393,0,0,0,0,0,60885,10,1,0,0,0,1,4,1,3,0,0,Nonmetropolitan County,Property Crimes,10,0,0,0,10,40,10,30,0,0,White,11587,10535,10395,551,253,67,0,0,121,611,5792,5312,5245,308,184,25,0,0,58,213,5795,5223,5150,243,69,42,0,0,63,398,90.92085958,89.71260896,4.755329248,2.183481488,0.578234228,0,0,1.044273755,5.273150945,1.640271656,0.164297973,0500000US19035
576,"White County, Arkansas",53435,56597,57161,50121,32826,0,19271,0,51974,45405,1254,211,3,67,2,139,412,90,266,56,8,Nonmetropolitan County,Property Crimes,16.8261563,0.23923445,5.342902711,0.159489633,11.08452951,32.85486443,7.177033493,21.21212121,4.465709729,0.637958533,White,77395,67988,66100,3693,3410,526,135,0,795,4541,37828,33162,32327,1918,1643,203,86,0,470,2264,39567,34826,33773,1775,1767,323,49,0,325,2277,87.84546805,85.40603398,4.771626074,4.405969378,0.679630467,0.174429873,0,1.027198139,5.867304089,3.414972938,0.267306144,0500000US05145
577,"Leflore County, Mississippi",33188,75029,75378,0,27799,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Black,27432,5859,5767,837,20432,143,19,0,629,350,12842,2874,2802,429,9435,66,0,0,362,105,14590,2985,2965,408,10997,77,19,0,267,245,21.35826772,21.02289297,3.051181102,74.48235637,0.521289006,0.069262176,0,2.292942549,1.275882181,2.418883707,0.152470917,0500000US28083
578,"Cooper County, Missouri",67548,69679,69615,63836,37417,90156,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,White,16835,14916,14839,346,948,67,27,0,60,817,8451,7410,7372,104,608,11,12,0,41,369,8384,7506,7467,242,340,56,15,0,19,448,88.6011286,88.14374814,2.055242055,5.631125631,0.397980398,0.16038016,0,0.356400356,4.852984853,1.644881269,0.152958096,0500000US29053
579,"Dickinson County, Michigan",61882,61951,62025,61375,0,0,58929,0,16798,76453,,,,,,,,,,,,,,,,,,,,,,,,White,25940,24211,24118,475,216,125,154,46,219,969,13166,12163,12106,323,109,63,59,46,174,552,12774,12048,12012,152,107,62,95,0,45,417,93.33461835,92.97609869,1.831148805,0.832690825,0.481881264,0.593677718,0.177332305,0.844255975,3.735543562,2.159569774,0.233641592,0500000US26043
580,"Will County, Illinois",107799,113991,115217,90406,76435,157383,66354,0,80615,96600,1460,164,2,47,10,105,563,174,270,119,6,Metropolitan County,Property Crimes,11.23287671,0.136986301,3.219178082,0.684931507,7.191780822,38.56164384,11.91780822,18.49315068,8.150684932,0.410958904,White,698450,454217,417514,134835,82371,42670,3083,47,48363,67699,348402,225694,207943,69163,40195,21063,1629,12,24997,34812,350048,228523,209571,65672,42176,21607,1454,35,23366,32887,65.0321426,59.77722099,19.3048894,11.79339967,6.109241893,0.44140597,0.006729186,6.92433245,9.692748228,2.497255351,0.236984308,0500000US17197
581,"Deaf Smith County, Texas",54114,60150,62083,52575,0,0,0,0,38835,50304,110,13,2,1,0,10,42,12,25,5,0,Nonmetropolitan County,Property Crimes,11.81818182,1.818181818,0.909090909,0,9.090909091,38.18181818,10.90909091,22.72727273,4.545454545,0,Hispanic/Latino,18487,9767,4038,14000,357,8,244,0,2221,5890,9396,4858,1928,7278,163,0,48,0,1196,3131,9091,4909,2110,6722,194,8,196,0,1025,2759,52.83171959,21.84237572,75.72889057,1.93108671,0.043273652,1.319846379,0,12.01384757,31.8602261,2.621814532,0.383024864,0500000US48117
582,"Brookings County, South Dakota",67341,70244,70493,39000,53091,56563,56146,0,45568,49018,82,6,0,2,0,4,35,6,25,4,0,Nonmetropolitan County,Property Crimes,7.317073171,0,2.43902439,0,4.87804878,42.68292683,7.317073171,30.48780488,4.87804878,0,White,34968,31023,30723,1504,417,1190,450,0,571,1317,17864,15984,15806,651,256,704,205,0,215,500,17104,15039,14917,853,161,486,245,0,356,817,88.71825669,87.86032944,4.301075269,1.192518874,3.403111416,1.286890872,0,1.632921528,3.766300618,2.048273608,0.235383505,0500000US46011
583,"Hardin County, Iowa",64906,65990,66591,49375,0,84904,41083,0,47750,62852,145,10,0,3,0,7,62,24,26,12,1,Nonmetropolitan County,Property Crimes,6.896551724,0,2.068965517,0,4.827586207,42.75862069,16.55172414,17.93103448,8.275862069,0.689655172,White,16729,15402,15169,848,168,166,154,0,320,519,8434,7629,7514,481,155,58,131,0,224,237,8295,7773,7655,367,13,108,23,0,96,282,92.06766693,90.67487596,5.069041784,1.004244127,0.99228884,0.920557116,0,1.912845956,3.102397035,1.690533139,0.161384829,0500000US19083
584,"Cameron Parish, Louisiana",72500,71823,71823,0,0,0,0,0,0,0,193,18,1,0,0,17,78,21,52,5,1,Metropolitan County,Property Crimes,9.32642487,0.518134715,0,0,8.808290155,40.41450777,10.88082902,26.94300518,2.590673575,0.518134715,White,5222,4473,4473,10,63,81,93,0,4,508,2656,2221,2221,0,51,81,20,0,4,279,2566,2252,2252,10,12,0,73,0,0,229,85.65683646,85.65683646,0.191497511,1.206434316,1.551129835,1.780926848,0,0.076599004,9.728073535,3.540281209,0.468275075,0500000US22023
585,"Clinton County, Ohio",68125,69233,69131,60833,27596,0,0,0,0,57344,81,5,0,2,0,3,35,10,17,8,1,Nonmetropolitan County,Property Crimes,6.172839506,0,2.469135802,0,3.703703704,43.20987654,12.34567901,20.98765432,9.87654321,1.234567901,White,42014,38887,38701,869,786,298,236,8,397,1402,20833,19205,19101,435,417,124,112,0,209,766,21181,19682,19600,434,369,174,124,8,188,636,92.55724282,92.11453325,2.068358166,1.87080497,0.70928738,0.561717523,0.019041272,0.944923121,3.33698291,1.388644545,0.111695974,0500000US39027
586,"St. Louis County, Minnesota",69455,70936,70923,57105,35307,68558,39000,0,68032,56523,1005,68,0,13,0,55,434,74,333,27,1,Metropolitan County,Property Crimes,6.766169154,0,1.293532338,0,5.472636816,43.1840796,7.36318408,33.13432836,2.686567164,0.099502488,White,200056,181117,179881,3767,3199,2094,3325,23,1316,8982,100725,91070,90365,1913,1845,934,1607,7,740,4522,99331,90047,89516,1854,1354,1160,1718,16,576,4460,90.53315072,89.91532371,1.882972768,1.599052265,1.046706922,1.66203463,0.011496781,0.657815812,4.489742872,6.989810503,2.124873107,0500000US27137
587,"Lorain County, Ohio",70693,75929,77046,47518,34909,90583,53500,0,54220,53722,,,,,,,,,,,,,,,,,,,,,,,,White,314588,250254,239348,33992,23588,4148,654,41,6412,29491,155867,122337,117542,17044,12355,1898,307,17,3203,15750,158721,127917,121806,16948,11233,2250,347,24,3209,13741,79.54976032,76.0830038,10.80524368,7.498060956,1.318549976,0.207890956,0.013032919,2.03822142,9.374483451,2.417076926,0.257535501,0500000US39093
588,"Lewis County, Tennessee",49477,49476,51178,0,0,0,0,0,0,0,133,9,0,3,0,6,57,13,33,11,1,Nonmetropolitan County,Property Crimes,6.766917293,0,2.255639098,0,4.511278195,42.85714286,9.77443609,24.81203008,8.270676692,0.751879699,White,12784,11927,11742,372,100,106,0,0,53,598,6368,5887,5732,309,73,56,0,0,20,332,6416,6040,6010,63,27,50,0,0,33,266,93.29630788,91.84918648,2.909887359,0.782227785,0.829161452,0,0,0.414580726,4.677722153,1.540809794,0.072705642,0500000US47101
589,"Washington County, Oregon",104434,104558,105655,80496,82628,142978,77604,102050,73241,99941,5759,465,3,94,46,322,2404,366,1691,347,21,Metropolitan County,Property Crimes,8.074318458,0.052092377,1.632227817,0.798749783,5.591248481,41.74335822,6.355270012,29.36273659,6.025351624,0.36464664,White,600266,396022,367788,109211,13763,67098,5370,3061,41423,73529,299739,196080,182059,55995,8244,32866,2764,1629,21513,36643,300527,199942,185729,53216,5519,34232,2606,1432,19910,36886,65.97441801,61.2708366,18.19376743,2.292816851,11.1780444,0.894603392,0.509940593,6.90077399,12.24940276,2.811706813,0.216881301,0500000US41067
590,"Virginia Beach city, Virginia",90685,98898,99131,76644,65857,106975,72083,133486,65274,82458,,,,,,,,,,,,,,,,,,,,,,,,White,457066,281645,271315,40854,86396,33157,1057,772,10988,43051,224463,139836,134962,20376,41156,15408,574,369,5158,21962,232603,141809,136353,20478,45240,17749,483,403,5830,21089,61.62020365,59.36013617,8.938315254,18.90230295,7.254313381,0.23125763,0.168903397,2.404029177,9.418989818,1.763432142,0.130066091,0500000US51810
591,"Madison County, Montana",67420,68365,68990,50227,0,0,0,0,46419,58906,81,15,0,4,1,10,25,5,18,2,1,Nonmetropolitan County,Property Crimes,18.51851852,0,4.938271605,1.234567901,12.34567901,30.86419753,6.172839506,22.22222222,2.469135802,1.234567901,White,8975,8314,8216,317,0,72,39,0,126,424,4762,4368,4330,179,0,38,13,0,58,285,4213,3946,3886,138,0,34,26,0,68,139,92.63509749,91.54317549,3.532033426,0,0.802228412,0.43454039,0,1.403899721,4.724233983,4.987777255,1.070708033,0500000US30057
592,"Lancaster County, Virginia",67169,72971,72841,138462,41563,0,0,0,138577,130114,172,35,0,5,0,30,51,8,38,5,0,Nonmetropolitan County,Property Crimes,20.34883721,0,2.906976744,0,17.44186047,29.65116279,4.651162791,22.09302326,2.906976744,0,White,10876,7364,7321,172,3026,50,4,0,119,313,5179,3465,3437,143,1452,18,4,0,95,145,5697,3899,3884,29,1574,32,0,0,24,168,67.70871644,67.3133505,1.581463773,27.82272894,0.459727841,0.036778227,0,1.094152262,2.877896285,1.404344364,0.061236453,0500000US51103
593,"Bates County, Missouri",57914,58920,59010,0,39500,81500,0,0,0,34167,191,25,1,0,0,24,70,15,37,18,1,Metropolitan County,Property Crimes,13.08900524,0.523560209,0,0,12.56544503,36.64921466,7.853403141,19.37172775,9.42408377,0.523560209,White,16121,15018,14865,386,344,64,65,14,50,566,8144,7540,7459,184,231,50,38,9,3,273,7977,7478,7406,202,113,14,27,5,47,293,93.15799268,92.20892004,2.394392407,2.133862664,0.396997705,0.403200794,0.086843248,0.310154457,3.510948452,2.322071375,0.226967313,0500000US29013
594,"Belknap County, New Hampshire",87983,87885,87800,105900,0,191587,72500,0,0,79250,20,2,0,1,0,1,8,0,8,0,0,Nonmetropolitan County,Property Crimes,10,0,5,0,5,40,0,40,0,0,White,64300,60290,59921,1387,405,769,33,13,834,1956,31781,30183,29933,589,180,306,26,0,280,806,32519,30107,29988,798,225,463,7,13,554,1150,93.76360809,93.18973561,2.157076205,0.629860031,1.195956454,0.051321928,0.020217729,1.297045101,3.041990669,1.817436639,0.135514612,0500000US33001
595,"Richmond County, Virginia",64184,74779,74485,94531,47214,0,0,0,108295,64245,54,12,1,1,0,10,15,3,12,0,0,Nonmetropolitan County,Property Crimes,22.22222222,1.851851852,1.851851852,0,18.51851852,27.77777778,5.555555556,22.22222222,0,0,White,9047,5517,5466,655,2527,2,35,0,246,720,5093,2869,2845,378,1575,0,0,0,186,463,3954,2648,2621,277,952,2,35,0,60,257,60.98154084,60.41781806,7.239969051,27.93191113,0.022106776,0.386868575,0,2.719133414,7.958439262,1.331408012,0.057432269,0500000US51159
596,"Skagway Municipality, Alaska",78594,67969,67969,0,0,189167,58750,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,White,1308,918,901,64,29,103,57,0,33,168,532,419,410,17,27,26,9,0,0,51,776,499,491,47,2,77,48,0,33,117,70.18348624,68.88379205,4.892966361,2.217125382,7.874617737,4.357798165,0,2.52293578,12.8440367,1.991672026,0.186545507,0500000US02230
597,"Hoonah-Angoon Census Area, Alaska",62500,81641,85357,67500,0,0,40000,0,0,70446,,,,,,,,,,,,,,,,,,,,,,,,White,2313,1183,1138,250,20,36,593,4,0,477,1321,667,627,201,20,0,328,4,0,302,992,516,511,49,0,36,265,0,0,175,51.14569823,49.20017294,10.80847384,0.864677907,1.556420233,25.63769996,0.172935581,0,20.62256809,17.40640829,3.791551025,0500000US02105
598,"Pettis County, Missouri",60232,59667,60004,70041,39028,0,120972,86563,61444,75000,451,58,0,15,0,43,167,33,110,24,1,Nonmetropolitan County,Property Crimes,12.86031042,0,3.32594235,0,9.534368071,37.02882483,7.317073171,24.3902439,5.321507761,0.22172949,White,43205,37031,35707,4135,1071,295,187,160,1667,2794,21696,18473,17688,2181,682,118,36,93,861,1433,21509,18558,18019,1954,389,177,151,67,806,1361,85.70998727,82.64552714,9.570651545,2.478879759,0.682791344,0.432820275,0.370327508,3.858349728,6.466844115,1.758430191,0.184133548,0500000US29159
599,"Missoula County, Montana",71246,71885,72096,70539,71907,58750,60222,0,87864,66875,552,132,0,9,1,122,142,52,67,23,4,Metropolitan County,Property Crimes,23.91304348,0,1.630434783,0.18115942,22.10144928,25.72463768,9.420289855,12.13768116,4.166666667,0.724637681,White,119639,104834,102631,5902,716,1944,2474,85,1602,7984,60127,52655,51654,3114,369,816,1276,45,890,4076,59512,52179,50977,2788,347,1128,1198,40,712,3908,87.6252727,85.7838999,4.933173965,0.598467055,1.624888205,2.067887562,0.071047067,1.339028243,6.673409173,6.206452835,0.802474608,0500000US30063
600,"Chautauqua County, Kansas",54592,54477,54128,0,0,0,72054,0,0,33125,,,,,,,,,,,,,,,,,,,,,,,,White,3370,2806,2788,161,32,15,138,0,41,338,1794,1474,1462,103,28,9,87,0,29,167,1576,1332,1326,58,4,6,51,0,12,171,83.26409496,82.72997033,4.777448071,0.949554896,0.445103858,4.09495549,0,1.216617211,10.02967359,1.72661438,0.169380404,0500000US20019
601,"Upshur County, Texas",62794,65595,66334,46700,42367,0,0,0,0,46830,404,38,0,11,2,25,164,64,73,27,0,Metropolitan County,Property Crimes,9.405940594,0,2.722772277,0.495049505,6.188118812,40.59405941,15.84158416,18.06930693,6.683168317,0,White,41864,34059,32744,4219,2995,181,102,15,1132,3380,20851,16648,16143,2204,1505,89,65,0,569,1975,21013,17411,16601,2015,1490,92,37,15,563,1405,81.35629658,78.21517294,10.0778712,7.154118097,0.432352379,0.243646092,0.035830308,2.703993885,8.07376266,1.819794491,0.147651836,0500000US48459
602,"Culpeper County, Virginia",96098,99157,99569,88993,88130,145125,64013,0,94743,69800,249,16,0,1,0,15,108,6,84,18,1,Metropolitan County,Property Crimes,6.425702811,0,0.401606426,0,6.024096386,43.37349398,2.409638554,33.73493976,7.228915663,0.401606426,White,53563,36643,35089,7912,7069,619,158,28,5189,3857,26924,18035,17263,4088,3726,382,46,19,2856,1860,26639,18608,17826,3824,3343,237,112,9,2333,1997,68.41103,65.50977354,14.7713907,13.19754308,1.155648489,0.294979743,0.052274891,9.687657525,7.20086627,2.144682886,0.102325766,0500000US51047
603,"Haskell County, Oklahoma",49930,52027,51892,32938,26250,186375,51333,0,33906,36045,108,9,0,1,0,8,43,12,26,5,4,Nonmetropolitan County,Property Crimes,8.333333333,0,0.925925926,0,7.407407407,39.81481481,11.11111111,24.07407407,4.62962963,3.703703704,White,11667,8090,7954,592,32,103,1637,0,160,1645,5792,3987,3926,321,22,53,806,0,99,825,5875,4103,4028,271,10,50,831,0,61,820,69.34087597,68.17519499,5.074140739,0.274277878,0.882831919,14.03102768,0,1.371389389,14.09959715,2.177165876,0.160389718,0500000US40061
604,"Ohio County, West Virginia",57867,59204,59338,0,22024,221058,0,0,0,45313,380,44,0,3,1,40,146,32,110,4,0,Metropolitan County,Property Crimes,11.57894737,0,0.789473684,0.263157895,10.52631579,38.42105263,8.421052632,28.94736842,1.052631579,0,White,41904,38009,37802,664,1356,181,42,0,185,2131,20373,18569,18397,350,727,50,20,0,78,929,21531,19440,19405,314,629,131,22,0,107,1202,90.70494464,90.21095838,1.584574265,3.235967927,0.431939672,0.100229095,0,0.4414853,5.085433372,0.728199349,0.029877969,0500000US54069
605,"Morgan County, West Virginia",63805,64613,64643,0,0,168750,0,0,0,58036,119,16,0,3,0,13,43,10,27,6,1,Metropolitan County,Property Crimes,13.44537815,0,2.521008403,0,10.92436975,36.13445378,8.403361345,22.68907563,5.042016807,0.840336134,White,17327,16354,16263,284,44,97,3,0,121,708,8784,8289,8224,204,23,42,2,0,104,324,8543,8065,8039,80,21,55,1,0,17,384,94.38448664,93.85929474,1.639060426,0.253938939,0.559819934,0.017314019,0,0.698332083,4.086108386,1.525794406,0.06233402,0500000US54065
606,"Rockingham County, Virginia",78468,80314,80332,65776,69375,64601,0,250000,44615,66932,636,57,0,23,1,33,260,50,202,8,2,Metropolitan County,Property Crimes,8.962264151,0,3.616352201,0.157232704,5.188679245,40.88050314,7.86163522,31.76100629,1.257861635,0.314465409,White,84739,74665,72274,7501,2143,921,154,83,1821,4952,41859,36398,35357,3881,1278,498,129,47,801,2708,42880,38267,36917,3620,865,423,25,36,1020,2244,88.11173132,85.29012615,8.851886381,2.52894181,1.086866732,0.181734502,0.097947816,2.148951486,5.843826337,2.700631889,0.228430074,0500000US51165
607,"Whitley County, Indiana",75790,76441,76640,59426,0,79018,0,0,0,57384,,,,,,,,,,,,,,,,,,,,,,,,White,34388,32237,31886,906,70,103,31,0,309,1638,17220,16353,16117,497,61,44,13,0,98,651,17168,15884,15769,409,9,59,18,0,211,987,93.74491102,92.72420612,2.634639991,0.203559381,0.299523089,0.090147726,0,0.898569268,4.76328952,1.336397738,0.093878845,0500000US18183
608,"Apache County, Arizona",40338,66307,64535,64943,0,60341,32263,23000,0,70114,252,47,6,2,1,38,79,35,36,8,0,Nonmetropolitan County,Property Crimes,18.65079365,2.380952381,0.793650794,0.396825397,15.07936508,31.34920635,13.88888889,14.28571429,3.174603175,0,American Indian/Alaska Native,65680,13296,12207,4092,625,396,47335,74,853,3101,32566,6814,6230,2091,419,206,22962,50,429,1686,33114,6482,5977,2001,206,190,24373,24,424,1415,20.24360536,18.58556638,6.230207065,0.951583435,0.602923264,72.06912302,0.112667479,1.298721072,4.72137637,9.319612922,2.883337732,0500000US04001
609,"Macon County, Missouri",58318,59111,59139,36300,18848,0,0,0,35625,59063,,,,,,,,,,,,,,,,,,,,,,,,White,15163,13992,13975,276,359,102,16,0,104,590,7467,6982,6982,96,104,35,8,0,47,291,7696,7010,6993,180,255,67,8,0,57,299,92.27725384,92.16513882,1.820220273,2.367605355,0.672690101,0.105520016,0,0.685880103,3.891050584,1.981562998,0.221366552,0500000US29121
610,"Lamb County, Texas",56997,64881,64028,55299,36381,0,111094,0,42961,50641,91,7,1,2,0,4,38,10,25,3,1,Nonmetropolitan County,Property Crimes,7.692307692,1.098901099,2.197802198,0,4.395604396,41.75824176,10.98901099,27.47252747,3.296703297,1.098901099,White,12919,9208,4752,7445,393,121,48,36,603,2510,6585,4625,2444,3759,234,73,40,27,313,1273,6334,4583,2308,3686,159,48,8,9,290,1237,71.27486648,36.78303274,57.6282994,3.042031117,0.936605,0.371545785,0.278659339,4.667543928,19.42874836,2.030841432,0.25742498,0500000US48279
611,"Kiowa County, Kansas",73214,72985,73316,0,0,32000,0,0,0,92708,25,3,0,0,0,3,8,2,5,1,3,Nonmetropolitan County,Property Crimes,12,0,0,0,12,32,8,20,4,12,White,2422,2187,2147,104,20,53,10,0,19,133,1183,1083,1058,57,9,15,9,0,9,58,1239,1104,1089,47,11,38,1,0,10,75,90.29727498,88.64574732,4.293971924,0.825763832,2.188274154,0.412881916,0,0.78447564,5.49132948,1.794095284,0.19091606,0500000US20097
612,"Austin County, Texas",75994,79064,79444,86944,37153,97074,125972,0,96887,84167,298,27,1,5,1,20,122,25,74,23,0,Metropolitan County,Property Crimes,9.060402685,0.33557047,1.677852349,0.33557047,6.711409396,40.93959732,8.389261745,24.83221477,7.718120805,0,White,30712,21755,18717,8359,2858,234,89,0,4037,1739,15570,10881,9309,4375,1454,127,47,0,2093,968,15142,10874,9408,3984,1404,107,42,0,1944,771,70.83550404,60.94360511,27.21737432,9.305808804,0.761917166,0.289789008,0,13.14469914,5.662281844,2.526172688,0.158766496,0500000US48015
613,"Daviess County, Missouri",60665,60867,60867,52917,0,0,0,0,0,0,114,11,0,4,0,7,46,1,44,1,0,Nonmetropolitan County,Property Crimes,9.649122807,0,3.50877193,0,6.140350877,40.35087719,0.877192982,38.59649123,0.877192982,0,White,8449,8114,8054,144,76,25,11,4,31,188,4241,4072,4039,88,45,9,11,0,16,88,4208,4042,4015,56,31,16,0,4,15,100,96.03503373,95.32489052,1.704343709,0.899514735,0.295893005,0.130192922,0.047342881,0.366907326,2.225115398,1.613413125,0.155351177,0500000US29061
614,"Seminole County, Georgia",49559,58229,54952,97330,28889,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,White,9117,5755,5642,267,3052,38,7,0,15,250,4385,2812,2758,138,1416,21,0,0,7,129,4732,2943,2884,129,1636,17,7,0,8,121,63.12383459,61.8843918,2.928594933,33.4759241,0.416803773,0.076779642,0,0.164527805,2.742130087,1.281343146,0.062715176,0500000US13253
