OBJECTID,Location,median,median_white,median_white_only,median_hispanic,median_black_only,median_asian,median_native,median_native_islander,median_other,median_two_or_more,GEOIDFQ
2517,"Bristol County, Massachusetts",84198,89082,89744,51134,75821,99143,55250,0,48457,62335,0500000US25005
2518,"Schuylkill County, Pennsylvania",66901,67413,67313,65288,32500,0,26181,0,41429,66378,0500000US42107
2519,"Wells County, North Dakota",61346,61587,62452,0,0,0,0,0,0,0,0500000US38103
2520,"Cleveland County, North Carolina",55769,62389,62656,51265,39016,52714,0,0,66231,38841,0500000US37045
2521,"Hot Spring County, Arkansas",52644,55791,56572,0,38371,0,0,0,9000,41667,0500000US05059
2522,"Frederick County, Maryland",120458,124423,125051,95337,100275,141173,116250,0,77900,110815,0500000US24021
2523,"Schuyler County, Illinois",66059,65923,66092,0,0,0,0,0,0,0,0500000US17169
2524,"Mono County, California",86953,96898,97194,64134,0,0,25035,0,0,63382,0500000US06051
2525,"Tuolumne County, California",72259,73254,74616,67229,38587,91683,61932,41667,46958,72458,0500000US06109
2526,"Doña Ana County, New Mexico",55663,62129,71914,49008,39331,40982,33795,0,40785,55835,0500000US35013
2527,"Crisp County, Georgia",42745,70000,70098,0,30144,0,0,0,0,0,0500000US13081
2528,"Columbia County, Arkansas",47363,55000,55571,48784,29879,0,0,0,82981,49461,0500000US05027
2529,"Griggs County, North Dakota",64737,64671,64671,0,0,0,0,0,0,0,0500000US38039
2530,"Solano County, California",99994,106010,106995,89011,75211,121283,101181,97260,82537,95491,0500000US06095
2531,"Clayton County, Iowa",62326,63283,63460,37054,0,0,0,0,35268,0,0500000US19043
2532,"Yazoo County, Mississippi",40974,62342,62342,105536,28167,0,0,0,0,0,0500000US28163
2533,"Floyd County, Iowa",64500,63260,63670,0,0,165787,0,0,0,0,0500000US19067
2534,"McCracken County, Kentucky",62385,67352,67142,73000,35216,143850,34097,0,62396,54234,0500000US21145
2535,"Union County, Kentucky",60989,62321,62321,0,37219,0,0,0,0,0,0500000US21225
