"GEO_ID","NAME","B19001F_001E","B19001F_001M","B19001F_002E","B19001F_002M","B19001F_003E","B19001F_003M","B19001F_004E","B19001F_004M","B19001F_005E","B19001F_005M","B19001F_006E","B19001F_006M","B19001F_007E","B19001F_007M","B19001F_008E","B19001F_008M","B19001F_009E","B19001F_009M","B19001F_010E","B19001F_010M","B19001F_011E","B19001F_011M","B19001F_012E","B19001F_012M","B19001F_013E","B19001F_013M","B19001F_014E","B19001F_014M","B19001F_015E","B19001F_015M","B19001F_016E","B19001F_016M","B19001F_017E","B19001F_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US19115","Louisa County, Iowa","263","61","14","16","0","16","10","8","0","16","18","19","9","12","9","14","0","16","11","17","24","28","18","17","40","30","60","41","21","18","17","14","12","13",
"0500000US19117","Lucas County, Iowa","1","2","1","2","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15",
"0500000US19119","Lyon County, Iowa","33","15","0","16","0","16","3","5","7","7","0","16","0","16","0","16","0","16","4","6","0","16","0","16","10","12","3","8","2","3","1","2","3","4",
"0500000US19121","Madison County, Iowa","10","15","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","10","15","0","16","0","16","0","16","0","16","0","16","0","16",
"0500000US19123","Mahaska County, Iowa","56","31","11","17","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","17","22","7","11","12","19","9","15","0","19","0","19",
"0500000US19125","Marion County, Iowa","58","51","0","22","0","22","0","22","0","22","11","14","3","4","0","22","0","22","0","22","0","22","29","45","15","22","0","22","0","22","0","22","0","22",
"0500000US19127","Marshall County, Iowa","650","206","14","20","11","19","0","22","0","22","16","25","0","22","22","39","13","21","0","22","68","69","71","54","181","123","65","56","18","28","69","72","102","92",
"0500000US19129","Mills County, Iowa","26","27","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","12","20","10","16","0","16","0","16","0","16","4","7",
"0500000US19131","Mitchell County, Iowa","33","18","1","2","0","16","13","17","0","16","0","16","0","16","11","16","0","16","0","16","5","9","3","4","0","16","0","16","0","16","0","16","0","16",
"0500000US19133","Monona County, Iowa","5","7","0","15","2","4","0","15","0","15","0","15","0","15","0","15","0","15","0","15","3","6","0","15","0","15","0","15","0","15","0","15","0","15",
"0500000US19135","Monroe County, Iowa","4","6","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","4","6","0","15","0","15",
