"GEO_ID","NAME","B19001D_001E","B19001D_001M","B19001D_002E","B19001D_002M","B19001D_003E","B19001D_003M","B19001D_004E","B19001D_004M","B19001D_005E","B19001D_005M","B19001D_006E","B19001D_006M","B19001D_007E","B19001D_007M","B19001D_008E","B19001D_008M","B19001D_009E","B19001D_009M","B19001D_010E","B19001D_010M","B19001D_011E","B19001D_011M","B19001D_012E","B19001D_012M","B19001D_013E","B19001D_013M","B19001D_014E","B19001D_014M","B19001D_015E","B19001D_015M","B19001D_016E","B19001D_016M","B19001D_017E","B19001D_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US42045","Delaware County, Pennsylvania","11533","451","263","121","191","116","339","161","249","112","491","219","229","113","277","125","283","109","349","202","632","172","1118","290","1069","234","1109","236","870","265","1067","191","2997","417",
"0500000US42047","Elk County, Pennsylvania","59","34","0","24","0","24","21","29","0","24","0","24","0","24","0","24","11","14","6","9","0","24","0","24","0","24","17","19","4","7","0","24","0","24",
"0500000US42049","Erie County, Pennsylvania","1305","181","113","96","17","21","18","30","89","75","5","8","72","76","139","102","44","50","39","44","18","23","164","89","45","35","96","62","63","46","211","123","172","81",
"0500000US42051","Fayette County, Pennsylvania","175","43","2","3","0","27","7","13","3","5","0","27","0","27","7","10","0","27","0","27","19","26","9","13","11","19","28","27","39","33","4","6","46","25",
"0500000US42053","Forest County, Pennsylvania","14","13","5","9","0","16","2","5","0","16","0","16","7","10","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16",
"0500000US42055","Franklin County, Pennsylvania","583","137","86","93","55","67","0","27","14","22","7","11","57","54","0","27","0","27","0","27","13","21","34","44","107","77","43","44","24","41","53","72","90","61",
"0500000US42057","Fulton County, Pennsylvania","28","15","0","18","0","18","2","6","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","2","3","24","16","0","18","0","18","0","18",
"0500000US42059","Greene County, Pennsylvania","11","22","0","24","0","24","0","24","0","24","1","3","0","24","0","24","0","24","0","24","9","20","0","24","0","24","1","3","0","24","0","24","0","24",
"0500000US42061","Huntingdon County, Pennsylvania","67","55","0","24","0","24","0","24","27","42","0","24","0","24","0","24","0","24","5","6","2","4","26","34","7","10","0","24","0","24","0","24","0","24",
"0500000US42063","Indiana County, Pennsylvania","234","113","18","29","0","27","12","23","0","27","0","27","0","27","0","27","0","27","3","5","0","27","93","72","1","4","22","40","13","18","38","82","34","32",
"0500000US42065","Jefferson County, Pennsylvania","42","23","32","30","0","24","6","11","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","4","6","0","24","0","24","0","24",
