"GEO_ID","NAME","B19001C_001E","B19001C_001M","B19001C_002E","B19001C_002M","B19001C_003E","B19001C_003M","B19001C_004E","B19001C_004M","B19001C_005E","B19001C_005M","B19001C_006E","B19001C_006M","B19001C_007E","B19001C_007M","B19001C_008E","B19001C_008M","B19001C_009E","B19001C_009M","B19001C_010E","B19001C_010M","B19001C_011E","B19001C_011M","B19001C_012E","B19001C_012M","B19001C_013E","B19001C_013M","B19001C_014E","B19001C_014M","B19001C_015E","B19001C_015M","B19001C_016E","B19001C_016M","B19001C_017E","B19001C_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US27035","Crow Wing County, Minnesota","92","37","0","22","11","17","0","22","0","22","1","2","6","9","7","10","1","3","0","22","14","18","0","22","44","29","3","7","4","5","0","22","1","4",
"0500000US27037","Dakota County, Minnesota","493","127","0","22","0","22","43","46","19","29","5","8","9","11","18","20","38","39","56","49","14","27","78","72","73","41","72","49","23","23","12","14","33","39",
"0500000US27039","Dodge County, Minnesota","18","23","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","18","23","0","17","0","17","0","17","0","17",
"0500000US27041","Douglas County, Minnesota","19","13","2","3","0","20","0","20","0","20","0","20","0","20","0","20","0","20","1","2","0","20","1","2","0","20","6","8","0","20","9","9","0","20",
"0500000US27043","Faribault County, Minnesota","4","5","0","15","0","15","0","15","0","15","0","15","2","2","0","15","0","15","0","15","0","15","0","15","1","2","0","15","0","15","0","15","1","3",
"0500000US27045","Fillmore County, Minnesota","3","4","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","2","3","1","2","0","17","0","17","0","17",
"0500000US27047","Freeborn County, Minnesota","26","31","0","20","0","20","0","20","1","2","2","4","0","20","0","20","0","20","2","3","0","20","18","30","0","20","3","6","0","20","0","20","0","20",
"0500000US27049","Goodhue County, Minnesota","174","42","27","15","18","21","16","18","1","2","2","3","2","5","0","20","3","7","0","20","3","6","12","12","19","23","21","24","5","9","6","9","39","24",
"0500000US27051","Grant County, Minnesota","5","7","0","13","0","13","0","13","1","2","0","13","0","13","0","13","1","2","0","13","0","13","0","13","0","13","0","13","0","13","3","4","0","13",
"0500000US27053","Hennepin County, Minnesota","2903","387","327","115","129","84","292","212","128","84","17","21","133","74","125","81","163","104","54","51","64","53","182","95","487","165","253","90","244","145","141","59","164","91",
"0500000US27055","Houston County, Minnesota","46","58","0","15","1","2","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","45","58","0","15",
"0500000US27057","Hubbard County, Minnesota","109","43","3","4","7","10","14","20","0","17","2","4","0","17","0","17","2","3","0","17","31","33","31","19","12","11","1","2","2","3","0","17","4","8",
"0500000US27059","Isanti County, Minnesota","20","16","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","6","9","0","20","3","6","1","2","5","6","0","20","5","7",
"0500000US27061","Itasca County, Minnesota","350","78","28","33","4","8","100","55","27","19","4","5","36","29","23","21","14","13","10","8","15","10","16","12","46","27","13","11","0","20","14","16","0","20",
"0500000US27063","Jackson County, Minnesota","2","3","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","2","3","0","13","0","13","0","13",
"0500000US27065","Kanabec County, Minnesota","22","15","0","15","0","15","0","15","7","9","1","3","1","2","0","15","0","15","0","15","0","15","1","3","1","3","0","15","10","10","0","15","1","3",
"0500000US27067","Kandiyohi County, Minnesota","109","41","60","47","17","31","0","20","25","36","0","20","0","20","6","13","1","2","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20",
"0500000US27069","Kittson County, Minnesota","1","2","0","9","0","9","0","9","0","9","0","9","0","9","1","2","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9",
"0500000US27071","Koochiching County, Minnesota","124","49","0","15","25","28","11","19","1","5","0","15","15","19","1","2","5","7","0","15","0","15","33","31","9","13","3","5","14","21","7","11","0","15",
"0500000US27073","Lac qui Parle County, Minnesota","5","6","0","13","4","6","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","1","3","0","13","0","13","0","13","0","13","0","13",
"0500000US27075","Lake County, Minnesota","3","6","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","2","5","0","15","0","15","0","15","0","15","1","3",
"0500000US27077","Lake of the Woods County, Minnesota","35","42","0","9","0","9","0","9","0","9","0","9","35","42","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9",
"0500000US27079","Le Sueur County, Minnesota","12","10","9","10","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","2","4","1","2","0","17","0","17",
"0500000US27081","Lincoln County, Minnesota","4","5","4","5","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"0500000US27083","Lyon County, Minnesota","42","36","0","17","4","10","0","17","0","17","0","17","0","17","0","17","0","17","0","17","4","4","0","17","27","35","0","17","0","17","4","9","3","5",
"0500000US27085","McLeod County, Minnesota","20","20","0","20","0","20","0","20","0","20","0","20","1","3","4","5","0","20","0","20","0","20","8","13","7","13","0","20","0","20","0","20","0","20",
"0500000US27087","Mahnomen County, Minnesota","579","56","89","22","35","14","39","19","40","17","19","9","23","12","40","15","24","13","42","16","46","18","60","22","46","16","38","14","21","9","14","8","3","3",
"0500000US27089","Marshall County, Minnesota","12","5","0","13","2","2","0","13","0","13","0","13","2","2","2","3","0","13","0","13","0","13","0","13","0","13","1","2","2","2","3","6","0","13",
"0500000US27091","Martin County, Minnesota","37","34","0","15","0","15","0","15","0","15","0","15","12","18","0","15","0","15","0","15","12","21","0","15","0","15","0","15","11","15","0","15","2","4",
"0500000US27093","Meeker County, Minnesota","44","57","0","17","0","17","0","17","23","45","0","17","0","17","0","17","0","17","0","17","0","17","21","30","0","17","0","17","0","17","0","17","0","17",
"0500000US27095","Mille Lacs County, Minnesota","341","50","9","9","11","7","14","11","59","39","14","16","14","12","15","12","10","8","3","4","52","24","24","15","27","15","15","11","29","23","14","10","31","19",
